"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0440201101",0.789948398622915,0.749389741687304,,,2254,0.818556164816399,0.759309551930023,,,2254
"Route_0440221102",0.566573503647571,0.603281528330289,,,2256,0.691821450234721,0.72589294567028,,,2256
"Route_0440307101",0.801277312508741,0.764999773195154,,,2257,0.635995159766301,0.592348542343889,,,2257
"Route_0440326101",0.765844650336174,0.750734510961526,,,2258,0.724105151794121,0.722781198038984,,,2258
"Route_0440428102",0.778956180260548,0.760949143770855,0.212918093525007,0.0505507966406496,2259,0.768285258499152,0.754852758780864,0.451821454014638,0.147342790148294,2259
"Route_0440617101",0.786406320957383,0.78408925631828,0.106060113068956,0.0105710614467514,2263,0.826743941009982,0.808234746545574,0.263639444105854,0.293648643634669,2263
"Route_0441120101",0.879149845703635,0.871314163435839,0.298535761063423,0.0483873449574576,2273,0.799151846746021,0.804620577905731,0.39588177232617,-0.0350196168062009,2273
"Route_0450108104",0.81866389552659,0.819624977311051,,,2275,0.833132462343586,0.779175007269422,,,2275
"Route_0450206101",0.726702802458859,0.693493808390271,,,2276,0.756951930304802,0.727298161379907,,,2276
"Route_0450206102",0.736023729385197,0.68413772101683,,,2277,0.763339646699949,0.725887786937697,,,2277
"Route_0450326101",0.714920943549213,0.655432284548554,,,2278,0.578486195745417,0.647413071603889,,,2278
"Route_0450820101",0.825770726446533,0.815538628935941,,,2282,0.783372133026043,0.752643004495957,,,2282
"Route_0450820102",0.814984766489779,0.783937725067381,0.275285478626828,-0.105894390801609,2283,0.842643784392555,0.796575122584174,0.372221668504072,0.278830234048314,2283
"Route_0450820103",0.783927729020193,0.736476696930128,0.136198857357567,-0.0994560756073435,2284,0.676798275134261,0.636620736350552,0.304944061989355,-0.0302509938363729,2284
"Route_0450820104",0.815325918053878,0.787701417212553,,,2285,0.807307677542072,0.75221766288165,,,2285
"Route_0450906101",0.749644429106123,0.766262797797957,,,2287,0.758042791170559,0.720958726360523,,,2287
